report_number,date_reported,date_of_occurrence,time_of_occurrence,city,crime_code,crime_description,victim_age,victim_gender,weapon_used,crime_domain,police_deployed,case_closed,date_case_closed,year,month,month_name,day,day_of_week,occurrence_hour,time_period,reporting_delay_days,age_group,case_resolution_days
9897,2021-02-18 13:00:00,2021-02-16 08:00:00,17-02-2021 02:40,Pune,311,FRAUD,36,F,Knife,Other Crime,1,No,,2021,2,February,16,Tuesday,2,Night,2.2083333333333335,Adult,
9898,2021-02-18 12:00:00,2021-02-16 09:00:00,16-02-2021 16:51,Hyderabad,421,ARSON,43,F,Other,Fire Accident,14,No,,2021,2,February,16,Tuesday,16,Afternoon,2.125,Adult,
9899,2021-02-18 23:00:00,2021-02-16 10:00:00,16-02-2021 13:37,Ghaziabad,136,PUBLIC INTOXICATION,31,M,Poison,Other Crime,8,Yes,2021-03-07 23:00:00,2021,2,February,16,Tuesday,13,Afternoon,2.5416666666666665,Adult,19.541666666666668
9900,2021-02-17 12:00:00,2021-02-16 11:00:00,17-02-2021 10:57,Bangalore,156,FRAUD,55,F,Poison,Other Crime,1,Yes,2021-02-25 12:00:00,2021,2,February,16,Tuesday,10,Morning,1.0416666666666667,Senior,9.041666666666666
9901,2021-02-16 18:00:00,2021-02-16 12:00:00,17-02-2021 05:32,Kolkata,547,VEHICLE - STOLEN,26,F,Explosives,Violent Crime,18,No,,2021,2,February,16,Tuesday,5,Night,0.25,Young Adult,
9902,2021-02-17 05:00:00,2021-02-16 13:00:00,17-02-2021 07:19,Nagpur,150,DRUG OFFENSE,50,F,Explosives,Other Crime,14,No,,2021,2,February,16,Tuesday,7,Morning,0.6666666666666666,Adult,
9903,2021-02-17 16:00:00,2021-02-16 14:00:00,17-02-2021 07:44,Lucknow,510,ILLEGAL POSSESSION,49,M,Unknown,Other Crime,7,No,,2021,2,February,16,Tuesday,7,Morning,1.0833333333333333,Adult,
9904,2021-02-18 18:00:00,2021-02-16 15:00:00,17-02-2021 09:47,Bangalore,534,FRAUD,65,M,Blunt Object,Other Crime,19,No,,2021,2,February,16,Tuesday,9,Morning,2.125,Senior,
9905,2021-02-17 04:00:00,2021-02-16 16:00:00,16-02-2021 21:23,Delhi,425,TRAFFIC VIOLATION,71,F,Poison,Traffic Fatality,16,Yes,2021-03-06 04:00:00,2021,2,February,16,Tuesday,21,Night,0.5,Senior,17.5
9906,2021-02-18 14:00:00,2021-02-16 17:00:00,16-02-2021 21:51,Bangalore,554,ILLEGAL POSSESSION,32,M,Knife,Other Crime,14,Yes,2021-04-22 14:00:00,2021,2,February,16,Tuesday,21,Night,1.875,Adult,64.875
9907,2021-02-19 07:00:00,2021-02-16 18:00:00,16-02-2021 19:38,Delhi,571,ROBBERY,23,F,Knife,Violent Crime,1,No,,2021,2,February,16,Tuesday,19,Evening,2.5416666666666665,Young Adult,
9908,2021-02-18 03:00:00,2021-02-16 19:00:00,17-02-2021 12:59,Hyderabad,487,IDENTITY THEFT,75,F,Poison,Violent Crime,2,No,,2021,2,February,16,Tuesday,12,Afternoon,1.3333333333333333,Senior,
9909,2021-02-18 08:00:00,2021-02-16 20:00:00,17-02-2021 08:43,Jaipur,230,EXTORTION,35,M,Explosives,Other Crime,4,Yes,2021-04-21 08:00:00,2021,2,February,16,Tuesday,8,Morning,1.5,Adult,63.5
9910,2021-02-18 13:00:00,2021-02-16 21:00:00,17-02-2021 00:20,Delhi,309,FRAUD,40,M,Knife,Other Crime,10,Yes,2021-05-11 13:00:00,2021,2,February,16,Tuesday,0,Night,1.6666666666666667,Adult,83.66666666666667
9911,2021-02-19 18:00:00,2021-02-16 22:00:00,17-02-2021 12:36,Mumbai,456,ARSON,36,F,Knife,Fire Accident,14,No,,2021,2,February,16,Tuesday,12,Afternoon,2.8333333333333335,Adult,
9912,2021-02-19 03:00:00,2021-02-16 23:00:00,17-02-2021 04:40,Delhi,576,FRAUD,33,F,Firearm,Other Crime,6,No,,2021,2,February,16,Tuesday,4,Night,2.1666666666666665,Adult,
9913,2021-02-19 17:00:00,2021-02-17 00:00:00,17-02-2021 08:05,Mumbai,153,ROBBERY,79,M,Firearm,Violent Crime,12,Yes,2021-06-26 17:00:00,2021,2,February,17,Wednesday,8,Morning,2.7083333333333335,Senior,129.70833333333334
9914,2021-02-17 17:00:00,2021-02-17 01:00:00,17-02-2021 21:11,Delhi,518,BURGLARY,67,M,Knife,Other Crime,14,Yes,2021-05-28 17:00:00,2021,2,February,17,Wednesday,21,Night,0.6666666666666666,Senior,100.66666666666667
9915,2021-02-17 16:00:00,2021-02-17 02:00:00,17-02-2021 09:10,Bangalore,332,DOMESTIC VIOLENCE,43,F,Knife,Violent Crime,6,No,,2021,2,February,17,Wednesday,9,Morning,0.5833333333333334,Adult,
9916,2021-02-19 01:00:00,2021-02-17 03:00:00,17-02-2021 03:55,Lucknow,419,HOMICIDE,38,M,Firearm,Other Crime,14,Yes,2022-02-14 01:00:00,2021,2,February,17,Wednesday,3,Night,1.9166666666666667,Adult,361.9166666666667
9917,2021-02-18 22:00:00,2021-02-17 04:00:00,18-02-2021 01:35,Lucknow,277,KIDNAPPING,32,M,Unknown,Other Crime,11,No,,2021,2,February,17,Wednesday,1,Night,1.75,Adult,
9918,2021-02-18 17:00:00,2021-02-17 05:00:00,17-02-2021 12:36,Bangalore,580,HOMICIDE,72,F,Knife,Other Crime,11,No,,2021,2,February,17,Wednesday,12,Afternoon,1.5,Senior,
9919,2021-02-18 05:00:00,2021-02-17 06:00:00,17-02-2021 23:24,Srinagar,212,VEHICLE - STOLEN,38,M,Other,Violent Crime,7,Yes,2021-02-27 05:00:00,2021,2,February,17,Wednesday,23,Night,0.9583333333333334,Adult,9.958333333333334
9920,2021-02-20 03:00:00,2021-02-17 07:00:00,17-02-2021 20:59,Delhi,510,FIREARM OFFENSE,14,F,Blunt Object,Fire Accident,1,No,,2021,2,February,17,Wednesday,20,Evening,2.8333333333333335,Minor,
9921,2021-02-19 13:00:00,2021-02-17 08:00:00,17-02-2021 15:27,Delhi,405,CYBERCRIME,19,M,Other,Other Crime,5,Yes,2021-05-08 13:00:00,2021,2,February,17,Wednesday,15,Afternoon,2.2083333333333335,Young Adult,80.20833333333333
9922,2021-02-19 13:00:00,2021-02-17 09:00:00,18-02-2021 05:39,Delhi,274,BURGLARY,25,F,Explosives,Other Crime,2,No,,2021,2,February,17,Wednesday,5,Night,2.1666666666666665,Young Adult,
9923,2021-02-18 06:00:00,2021-02-17 10:00:00,17-02-2021 14:49,Bangalore,581,CYBERCRIME,35,F,Other,Other Crime,14,Yes,2021-03-11 06:00:00,2021,2,February,17,Wednesday,14,Afternoon,0.8333333333333334,Adult,21.833333333333332
9924,2021-02-18 10:00:00,2021-02-17 11:00:00,18-02-2021 00:12,Kolkata,212,KIDNAPPING,56,M,Other,Other Crime,14,No,,2021,2,February,17,Wednesday,0,Night,0.9583333333333334,Senior,
9925,2021-02-19 00:00:00,2021-02-17 12:00:00,18-02-2021 07:57,Delhi,159,FIREARM OFFENSE,16,M,Knife,Fire Accident,14,Yes,2021-04-13 00:00:00,2021,2,February,17,Wednesday,7,Morning,1.5,Minor,54.5
9926,2021-02-18 11:00:00,2021-02-17 13:00:00,18-02-2021 11:08,Mumbai,156,DRUG OFFENSE,48,F,Firearm,Other Crime,10,Yes,2021-04-20 11:00:00,2021,2,February,17,Wednesday,11,Morning,0.9166666666666666,Adult,61.916666666666664
9927,2021-02-17 15:00:00,2021-02-17 14:00:00,18-02-2021 04:47,Agra,556,BURGLARY,43,F,Poison,Other Crime,7,Yes,2021-04-14 15:00:00,2021,2,February,17,Wednesday,4,Night,0.041666666666666664,Adult,56.041666666666664
9928,2021-02-18 11:00:00,2021-02-17 15:00:00,17-02-2021 21:24,Delhi,184,EXTORTION,53,M,Blunt Object,Other Crime,7,No,,2021,2,February,17,Wednesday,21,Night,0.8333333333333334,Senior,
9929,2021-02-18 14:00:00,2021-02-17 16:00:00,17-02-2021 21:30,Ahmedabad,597,COUNTERFEITING,51,F,Poison,Other Crime,6,Yes,2021-04-01 14:00:00,2021,2,February,17,Wednesday,21,Night,0.9166666666666666,Senior,42.916666666666664
9930,2021-02-17 20:00:00,2021-02-17 17:00:00,18-02-2021 03:13,Mumbai,538,FRAUD,51,F,Firearm,Other Crime,10,No,,2021,2,February,17,Wednesday,3,Night,0.125,Senior,
9931,2021-02-18 02:00:00,2021-02-17 18:00:00,18-02-2021 11:17,Kolkata,338,VANDALISM,54,F,Unknown,Other Crime,10,No,,2021,2,February,17,Wednesday,11,Morning,0.3333333333333333,Senior,
9932,2021-02-18 07:00:00,2021-02-17 19:00:00,18-02-2021 04:11,Mumbai,599,HOMICIDE,28,F,Knife,Other Crime,18,No,,2021,2,February,17,Wednesday,4,Night,0.5,Young Adult,
9933,2021-02-18 12:00:00,2021-02-17 20:00:00,18-02-2021 17:40,Jaipur,230,PUBLIC INTOXICATION,43,F,Unknown,Other Crime,2,No,,2021,2,February,17,Wednesday,17,Evening,0.6666666666666666,Adult,
9934,2021-02-20 03:00:00,2021-02-17 21:00:00,18-02-2021 08:29,Jaipur,459,VANDALISM,63,M,Other,Other Crime,18,No,,2021,2,February,17,Wednesday,8,Morning,2.25,Senior,
9935,2021-02-17 23:00:00,2021-02-17 22:00:00,18-02-2021 06:54,Nagpur,530,COUNTERFEITING,30,M,Knife,Other Crime,9,No,,2021,2,February,17,Wednesday,6,Morning,0.041666666666666664,Young Adult,
9936,2021-02-20 15:00:00,2021-02-17 23:00:00,18-02-2021 08:23,Chennai,334,HOMICIDE,45,M,Poison,Other Crime,11,Yes,2022-04-06 15:00:00,2021,2,February,17,Wednesday,8,Morning,2.6666666666666665,Adult,412.6666666666667
9937,2021-02-19 11:00:00,2021-02-18 00:00:00,18-02-2021 12:18,Kolkata,391,DOMESTIC VIOLENCE,44,F,Poison,Violent Crime,18,Yes,2021-03-12 11:00:00,2021,2,February,18,Thursday,12,Afternoon,1.4583333333333333,Adult,22.458333333333332
9938,2021-02-20 12:00:00,2021-02-18 01:00:00,18-02-2021 01:31,Bangalore,554,ILLEGAL POSSESSION,28,F,Unknown,Other Crime,4,No,,2021,2,February,18,Thursday,1,Night,2.4583333333333335,Young Adult,
9939,2021-02-20 07:00:00,2021-02-18 02:00:00,19-02-2021 01:02,Hyderabad,374,ILLEGAL POSSESSION,77,F,Knife,Other Crime,16,Yes,2021-03-14 07:00:00,2021,2,February,18,Thursday,1,Night,2.2083333333333335,Senior,24.208333333333332
9940,2021-02-21 01:00:00,2021-02-18 03:00:00,19-02-2021 00:38,Mumbai,424,SHOPLIFTING,74,F,Knife,Other Crime,14,Yes,2021-04-12 01:00:00,2021,2,February,18,Thursday,0,Night,2.9166666666666665,Senior,52.916666666666664
9941,2021-02-20 05:00:00,2021-02-18 04:00:00,19-02-2021 03:56,Pune,330,FIREARM OFFENSE,46,M,Knife,Fire Accident,12,No,,2021,2,February,18,Thursday,3,Night,2.0416666666666665,Adult,
9942,2021-02-19 15:00:00,2021-02-18 05:00:00,18-02-2021 21:24,Pune,361,SHOPLIFTING,16,F,Other,Other Crime,19,No,,2021,2,February,18,Thursday,21,Night,1.4166666666666667,Minor,
9943,2021-02-19 22:00:00,2021-02-18 06:00:00,18-02-2021 09:34,Thane,547,VANDALISM,19,F,Poison,Other Crime,15,No,,2021,2,February,18,Thursday,9,Morning,1.6666666666666667,Young Adult,
9944,2021-02-18 17:00:00,2021-02-18 07:00:00,18-02-2021 11:00,Chennai,146,COUNTERFEITING,12,F,Unknown,Other Crime,7,No,,2021,2,February,18,Thursday,11,Morning,0.4166666666666667,Minor,
9945,2021-02-19 00:00:00,2021-02-18 08:00:00,18-02-2021 18:15,Ahmedabad,160,BURGLARY,59,M,Knife,Other Crime,5,No,,2021,2,February,18,Thursday,18,Evening,0.6666666666666666,Senior,
9946,2021-02-19 04:00:00,2021-02-18 09:00:00,19-02-2021 06:59,Hyderabad,368,DOMESTIC VIOLENCE,34,F,Explosives,Violent Crime,2,Yes,2021-04-11 04:00:00,2021,2,February,18,Thursday,6,Morning,0.7916666666666666,Adult,51.791666666666664
9947,2021-02-18 22:00:00,2021-02-18 10:00:00,19-02-2021 09:45,Ahmedabad,350,SEXUAL ASSAULT,77,F,Poison,Violent Crime,7,Yes,2022-12-15 22:00:00,2021,2,February,18,Thursday,9,Morning,0.5,Senior,665.5
9948,2021-02-21 09:00:00,2021-02-18 11:00:00,19-02-2021 02:33,Chennai,165,ARSON,25,M,Explosives,Fire Accident,15,No,,2021,2,February,18,Thursday,2,Night,2.9166666666666665,Young Adult,
9949,2021-02-20 14:00:00,2021-02-18 12:00:00,19-02-2021 11:35,Pune,381,DRUG OFFENSE,27,F,Blunt Object,Other Crime,2,No,,2021,2,February,18,Thursday,11,Morning,2.0833333333333335,Young Adult,
9950,2021-02-20 03:00:00,2021-02-18 13:00:00,18-02-2021 15:33,Visakhapatnam,503,BURGLARY,23,F,Blunt Object,Other Crime,11,Yes,2021-07-31 03:00:00,2021,2,February,18,Thursday,15,Afternoon,1.5833333333333333,Young Adult,162.58333333333334
9951,2021-02-20 21:00:00,2021-02-18 14:00:00,19-02-2021 05:19,Kolkata,302,DOMESTIC VIOLENCE,24,M,Unknown,Violent Crime,8,Yes,2021-05-01 21:00:00,2021,2,February,18,Thursday,5,Night,2.2916666666666665,Young Adult,72.29166666666667
9952,2021-02-19 14:00:00,2021-02-18 15:00:00,19-02-2021 13:55,Srinagar,559,FIREARM OFFENSE,17,M,Unknown,Fire Accident,1,No,,2021,2,February,18,Thursday,13,Afternoon,0.9583333333333334,Minor,
9953,2021-02-19 05:00:00,2021-02-18 16:00:00,19-02-2021 02:40,Mumbai,441,KIDNAPPING,64,F,Unknown,Other Crime,12,Yes,2021-03-15 05:00:00,2021,2,February,18,Thursday,2,Night,0.5416666666666666,Senior,24.541666666666668
9954,2021-02-21 14:00:00,2021-02-18 17:00:00,19-02-2021 05:04,Vasai,512,DOMESTIC VIOLENCE,38,F,Poison,Violent Crime,11,Yes,2021-04-08 14:00:00,2021,2,February,18,Thursday,5,Night,2.875,Adult,48.875
9955,2021-02-21 07:00:00,2021-02-18 18:00:00,18-02-2021 18:34,Kolkata,595,HOMICIDE,64,M,Other,Other Crime,10,No,,2021,2,February,18,Thursday,18,Evening,2.5416666666666665,Senior,
9956,2021-02-19 01:00:00,2021-02-18 19:00:00,19-02-2021 03:23,Mumbai,193,KIDNAPPING,12,F,Firearm,Other Crime,18,No,,2021,2,February,18,Thursday,3,Night,0.25,Minor,
9957,2021-02-21 01:00:00,2021-02-18 20:00:00,19-02-2021 06:14,Delhi,260,BURGLARY,76,F,Other,Other Crime,5,No,,2021,2,February,18,Thursday,6,Morning,2.2083333333333335,Senior,
9958,2021-02-19 20:00:00,2021-02-18 21:00:00,18-02-2021 22:10,Surat,358,ASSAULT,74,F,Knife,Violent Crime,8,Yes,2021-04-03 20:00:00,2021,2,February,18,Thursday,22,Night,0.9583333333333334,Senior,43.958333333333336
9959,2021-02-20 05:00:00,2021-02-18 22:00:00,19-02-2021 05:00,Visakhapatnam,583,SEXUAL ASSAULT,62,F,Poison,Violent Crime,10,No,,2021,2,February,18,Thursday,5,Night,1.2916666666666667,Senior,
9960,2021-02-20 13:00:00,2021-02-18 23:00:00,19-02-2021 16:06,Jaipur,254,COUNTERFEITING,34,F,Blunt Object,Other Crime,15,Yes,2021-04-08 13:00:00,2021,2,February,18,Thursday,16,Afternoon,1.5833333333333333,Adult,48.583333333333336
9961,2021-02-19 19:00:00,2021-02-19 00:00:00,19-02-2021 02:12,Hyderabad,442,FIREARM OFFENSE,65,F,Unknown,Fire Accident,10,No,,2021,2,February,19,Friday,2,Night,0.7916666666666666,Senior,
9962,2021-02-21 03:00:00,2021-02-19 01:00:00,19-02-2021 05:41,Delhi,194,CYBERCRIME,29,F,Poison,Other Crime,3,Yes,2021-03-29 03:00:00,2021,2,February,19,Friday,5,Night,2.0833333333333335,Young Adult,38.083333333333336
9963,2021-02-19 21:00:00,2021-02-19 02:00:00,19-02-2021 04:05,Delhi,223,SEXUAL ASSAULT,18,M,Poison,Violent Crime,15,No,,2021,2,February,19,Friday,4,Night,0.7916666666666666,Young Adult,
9964,2021-02-19 21:00:00,2021-02-19 03:00:00,19-02-2021 18:40,Chennai,363,IDENTITY THEFT,59,F,Poison,Violent Crime,4,No,,2021,2,February,19,Friday,18,Evening,0.75,Senior,
9965,2021-02-20 02:00:00,2021-02-19 04:00:00,19-02-2021 12:19,Chennai,575,FRAUD,35,M,Other,Other Crime,14,No,,2021,2,February,19,Friday,12,Afternoon,0.9166666666666666,Adult,
9966,2021-02-21 09:00:00,2021-02-19 05:00:00,19-02-2021 13:26,Delhi,188,SEXUAL ASSAULT,16,F,Knife,Violent Crime,18,No,,2021,2,February,19,Friday,13,Afternoon,2.1666666666666665,Minor,
9967,2021-02-19 19:00:00,2021-02-19 06:00:00,19-02-2021 08:55,Indore,143,CYBERCRIME,55,M,Other,Other Crime,19,Yes,2021-03-13 19:00:00,2021,2,February,19,Friday,8,Morning,0.5416666666666666,Senior,22.541666666666668
9968,2021-02-21 12:00:00,2021-02-19 07:00:00,19-02-2021 21:41,Mumbai,579,BURGLARY,61,M,Firearm,Other Crime,8,Yes,2021-05-15 12:00:00,2021,2,February,19,Friday,21,Night,2.2083333333333335,Senior,85.20833333333333
9969,2021-02-19 23:00:00,2021-02-19 08:00:00,20-02-2021 05:39,Ahmedabad,220,CYBERCRIME,34,F,Unknown,Other Crime,10,Yes,2021-03-02 23:00:00,2021,2,February,19,Friday,5,Night,0.625,Adult,11.625
9970,2021-02-20 16:00:00,2021-02-19 09:00:00,19-02-2021 10:23,Agra,422,DOMESTIC VIOLENCE,59,M,Unknown,Violent Crime,8,No,,2021,2,February,19,Friday,10,Morning,1.2916666666666667,Senior,
9971,2021-02-21 08:00:00,2021-02-19 10:00:00,20-02-2021 07:05,Delhi,177,EXTORTION,32,F,Poison,Other Crime,11,Yes,2021-04-06 08:00:00,2021,2,February,19,Friday,7,Morning,1.9166666666666667,Adult,45.916666666666664
9972,2021-02-20 04:00:00,2021-02-19 11:00:00,19-02-2021 11:48,Delhi,549,VEHICLE - STOLEN,55,F,Firearm,Violent Crime,8,Yes,2021-03-04 04:00:00,2021,2,February,19,Friday,11,Morning,0.7083333333333334,Senior,12.708333333333334
9973,2021-02-22 00:00:00,2021-02-19 12:00:00,20-02-2021 05:02,Visakhapatnam,372,VANDALISM,41,F,Explosives,Other Crime,6,Yes,2021-05-01 00:00:00,2021,2,February,19,Friday,5,Night,2.5,Adult,70.5
9974,2021-02-22 10:00:00,2021-02-19 13:00:00,19-02-2021 19:33,Nagpur,153,ARSON,51,M,Unknown,Fire Accident,10,No,,2021,2,February,19,Friday,19,Evening,2.875,Senior,
9975,2021-02-20 03:00:00,2021-02-19 14:00:00,20-02-2021 07:40,Chennai,285,SEXUAL ASSAULT,63,M,Blunt Object,Violent Crime,1,Yes,2022-02-10 03:00:00,2021,2,February,19,Friday,7,Morning,0.5416666666666666,Senior,355.5416666666667
9976,2021-02-22 06:00:00,2021-02-19 15:00:00,20-02-2021 00:43,Delhi,187,TRAFFIC VIOLATION,13,M,Explosives,Traffic Fatality,8,Yes,2021-03-09 06:00:00,2021,2,February,19,Friday,0,Night,2.625,Minor,17.625
9977,2021-02-21 01:00:00,2021-02-19 16:00:00,19-02-2021 20:23,Delhi,311,SHOPLIFTING,23,M,Firearm,Other Crime,10,Yes,2021-03-13 01:00:00,2021,2,February,19,Friday,20,Evening,1.375,Young Adult,21.375
9978,2021-02-19 19:00:00,2021-02-19 17:00:00,19-02-2021 18:12,Visakhapatnam,198,ASSAULT,29,M,Explosives,Violent Crime,13,No,,2021,2,February,19,Friday,18,Evening,0.08333333333333333,Young Adult,
9979,2021-02-20 21:00:00,2021-02-19 18:00:00,20-02-2021 11:11,Delhi,371,SEXUAL ASSAULT,72,F,Poison,Violent Crime,10,Yes,2022-05-12 21:00:00,2021,2,February,19,Friday,11,Morning,1.125,Senior,447.125
9980,2021-02-20 06:00:00,2021-02-19 19:00:00,19-02-2021 20:16,Delhi,151,EXTORTION,10,F,Poison,Other Crime,9,No,,2021,2,February,19,Friday,20,Evening,0.4583333333333333,Minor,
9981,2021-02-20 11:00:00,2021-02-19 20:00:00,19-02-2021 20:41,Delhi,267,DRUG OFFENSE,57,M,Other,Other Crime,15,Yes,2021-04-26 11:00:00,2021,2,February,19,Friday,20,Evening,0.625,Senior,65.625
9982,2021-02-20 16:00:00,2021-02-19 21:00:00,20-02-2021 01:41,Delhi,543,VEHICLE - STOLEN,42,F,Other,Violent Crime,9,No,,2021,2,February,19,Friday,1,Night,0.7916666666666666,Adult,
9983,2021-02-20 07:00:00,2021-02-19 22:00:00,20-02-2021 01:48,Ghaziabad,560,PUBLIC INTOXICATION,52,F,Knife,Other Crime,6,No,,2021,2,February,19,Friday,1,Night,0.375,Senior,
9984,2021-02-21 00:00:00,2021-02-19 23:00:00,20-02-2021 07:47,Delhi,561,ARSON,77,M,Explosives,Fire Accident,17,No,,2021,2,February,19,Friday,7,Morning,1.0416666666666667,Senior,
9985,2021-02-21 01:00:00,2021-02-20 00:00:00,20-02-2021 15:37,Chennai,327,SEXUAL ASSAULT,64,F,Unknown,Violent Crime,2,Yes,2021-10-29 01:00:00,2021,2,February,20,Saturday,15,Afternoon,1.0416666666666667,Senior,251.04166666666666
9986,2021-02-20 13:00:00,2021-02-20 01:00:00,21-02-2021 00:25,Pune,527,VEHICLE - STOLEN,40,M,Knife,Violent Crime,2,No,,2021,2,February,20,Saturday,0,Night,0.5,Adult,
9987,2021-02-22 18:00:00,2021-02-20 02:00:00,20-02-2021 22:21,Bangalore,593,COUNTERFEITING,15,F,Other,Other Crime,8,Yes,2021-05-05 18:00:00,2021,2,February,20,Saturday,22,Night,2.6666666666666665,Minor,74.66666666666667
9988,2021-02-20 04:00:00,2021-02-20 03:00:00,20-02-2021 20:33,Delhi,299,ILLEGAL POSSESSION,32,F,Other,Other Crime,10,Yes,2021-03-31 04:00:00,2021,2,February,20,Saturday,20,Evening,0.041666666666666664,Adult,39.041666666666664
9989,2021-02-21 22:00:00,2021-02-20 04:00:00,20-02-2021 19:18,Hyderabad,495,FIREARM OFFENSE,11,M,Other,Fire Accident,10,No,,2021,2,February,20,Saturday,19,Evening,1.75,Minor,
9990,2021-02-20 13:00:00,2021-02-20 05:00:00,21-02-2021 02:44,Ahmedabad,390,COUNTERFEITING,25,M,Knife,Other Crime,7,No,,2021,2,February,20,Saturday,2,Night,0.3333333333333333,Young Adult,
9991,2021-02-21 23:00:00,2021-02-20 06:00:00,21-02-2021 01:27,Delhi,319,FIREARM OFFENSE,28,F,Explosives,Fire Accident,11,No,,2021,2,February,20,Saturday,1,Night,1.7083333333333333,Young Adult,
9992,2021-02-21 02:00:00,2021-02-20 07:00:00,20-02-2021 12:39,Kolkata,312,ASSAULT,40,F,Firearm,Violent Crime,14,No,,2021,2,February,20,Saturday,12,Afternoon,0.7916666666666666,Adult,
9993,2021-02-22 08:00:00,2021-02-20 08:00:00,20-02-2021 15:10,Vasai,249,COUNTERFEITING,40,F,Poison,Other Crime,2,No,,2021,2,February,20,Saturday,15,Afternoon,2.0,Adult,
9994,2021-02-23 01:00:00,2021-02-20 09:00:00,21-02-2021 04:31,Varanasi,156,PUBLIC INTOXICATION,27,F,Blunt Object,Other Crime,13,No,,2021,2,February,20,Saturday,4,Night,2.6666666666666665,Young Adult,
9995,2021-02-21 03:00:00,2021-02-20 10:00:00,20-02-2021 12:38,Mumbai,596,DRUG OFFENSE,68,M,Explosives,Other Crime,9,No,,2021,2,February,20,Saturday,12,Afternoon,0.7083333333333334,Senior,
9996,2021-02-21 00:00:00,2021-02-20 11:00:00,20-02-2021 18:20,Mumbai,188,TRAFFIC VIOLATION,39,F,Blunt Object,Traffic Fatality,9,No,,2021,2,February,20,Saturday,18,Evening,0.5416666666666666,Adult,
9997,2021-02-22 02:00:00,2021-02-20 12:00:00,21-02-2021 10:05,Bangalore,389,BURGLARY,69,F,Unknown,Other Crime,15,No,,2021,2,February,20,Saturday,10,Morning,1.5833333333333333,Senior,
9998,2021-02-23 01:00:00,2021-02-20 13:00:00,20-02-2021 14:35,Delhi,399,ARSON,19,F,Knife,Fire Accident,8,Yes,2021-03-09 01:00:00,2021,2,February,20,Saturday,14,Afternoon,2.5,Young Adult,16.5
9999,2021-02-22 15:00:00,2021-02-20 14:00:00,20-02-2021 16:36,Varanasi,241,ARSON,13,F,Explosives,Fire Accident,17,Yes,2021-04-20 15:00:00,2021,2,February,20,Saturday,16,Afternoon,2.0416666666666665,Minor,59.041666666666664
10000,2021-02-20 16:00:00,2021-02-20 15:00:00,20-02-2021 20:13,Bangalore,389,ASSAULT,40,F,Firearm,Violent Crime,2,No,,2021,2,February,20,Saturday,20,Evening,0.041666666666666664,Adult,
10001,2021-02-22 07:00:00,2021-02-20 16:00:00,21-02-2021 05:07,Chennai,187,VANDALISM,30,M,Other,Other Crime,14,No,,2021,2,February,20,Saturday,5,Night,1.625,Young Adult,
10002,2021-02-20 23:00:00,2021-02-20 17:00:00,20-02-2021 17:29,Bangalore,566,DRUG OFFENSE,68,F,Explosives,Other Crime,9,No,,2021,2,February,20,Saturday,17,Evening,0.25,Senior,
10003,2021-02-22 07:00:00,2021-02-20 18:00:00,21-02-2021 07:14,Bangalore,515,ROBBERY,23,F,Knife,Violent Crime,2,Yes,2021-07-12 07:00:00,2021,2,February,20,Saturday,7,Morning,1.5416666666666667,Young Adult,141.54166666666666
10004,2021-02-23 01:00:00,2021-02-20 19:00:00,20-02-2021 21:22,Patna,309,IDENTITY THEFT,60,F,Unknown,Violent Crime,2,No,,2021,2,February,20,Saturday,21,Night,2.25,Senior,
10005,2021-02-22 00:00:00,2021-02-20 20:00:00,21-02-2021 11:16,Kolkata,124,VANDALISM,64,F,Knife,Other Crime,12,No,,2021,2,February,20,Saturday,11,Morning,1.1666666666666667,Senior,
10006,2021-02-23 17:00:00,2021-02-20 21:00:00,21-02-2021 20:14,Mumbai,195,HOMICIDE,59,F,Unknown,Other Crime,18,Yes,2022-10-20 17:00:00,2021,2,February,20,Saturday,20,Evening,2.8333333333333335,Senior,606.8333333333334
10007,2021-02-22 05:00:00,2021-02-20 22:00:00,21-02-2021 06:26,Mumbai,126,PUBLIC INTOXICATION,67,M,Unknown,Other Crime,19,No,,2021,2,February,20,Saturday,6,Morning,1.2916666666666667,Senior,
10008,2021-02-22 06:00:00,2021-02-20 23:00:00,21-02-2021 12:06,Ludhiana,483,PUBLIC INTOXICATION,56,M,Explosives,Other Crime,1,No,,2021,2,February,20,Saturday,12,Afternoon,1.2916666666666667,Senior,
10009,2021-02-21 04:00:00,2021-02-21 00:00:00,21-02-2021 14:21,Ghaziabad,121,HOMICIDE,21,F,Unknown,Other Crime,12,Yes,2022-11-15 04:00:00,2021,2,February,21,Sunday,14,Afternoon,0.16666666666666666,Young Adult,632.1666666666666
10010,2021-02-21 06:00:00,2021-02-21 01:00:00,21-02-2021 18:15,Hyderabad,459,FIREARM OFFENSE,31,F,Unknown,Fire Accident,14,No,,2021,2,February,21,Sunday,18,Evening,0.20833333333333334,Adult,
10011,2021-02-23 16:00:00,2021-02-21 02:00:00,22-02-2021 00:53,Pune,276,HOMICIDE,68,F,Blunt Object,Other Crime,19,Yes,2022-11-12 16:00:00,2021,2,February,21,Sunday,0,Night,2.5833333333333335,Senior,629.5833333333334
10012,2021-02-22 01:00:00,2021-02-21 03:00:00,21-02-2021 09:23,Ahmedabad,177,COUNTERFEITING,33,M,Explosives,Other Crime,7,Yes,2021-03-07 01:00:00,2021,2,February,21,Sunday,9,Morning,0.9166666666666666,Adult,13.916666666666666
